CCTV1,rtp://239.200.201.135:8880$云\南cmc
CCTV2,rtp://239.200.200.104:8084$云\南cmc
CCTV4,rtp://239.200.200.128:8652$云\南cmc
CCTV4美洲,rtp://239.200.201.181:4220$云\南cmc
CCTV4欧洲,rtp://239.200.201.180:4220$云\南cmc
CCTV9,rtp://239.200.200.106:8112$云\南cmc
CCTV10,rtp://239.200.200.107:8116$云\南cmc
CCTV11,rtp://239.200.201.125:8480$云\南cmc
CF兵器科技,rtp://239.200.200.91:8036$云\南cmc
CF第一剧场,rtp://239.200.200.82:8004$云\南cmc
CF电视指南rtp://239.200.200.83:8000$云\南cmc
CF风云剧场,rtp://239.200.200.84:8016$云\南cmc
CF高尔夫网球,rtp://239.200.200.89:8024$云\南cmc
CF怀旧剧场,rtp://239.200.200.85:8032$云\南cmc
CF女性时尚,rtp://239.200.200.100:8084$云\南cmc
CF世界地理,rtp://239.200.200.130:8012$云\南cmc
CF央视台球,rtp://239.200.200.135:8076$云\南cmc
CF文化精品,rtp://239.200.200.92:8028$云\南cmc
